Figure;Question;Answer;Complexity_Question;Useful_Adaptation
Stimuli/1_Baseline_3nodes.png;How many edges have confidence level small?;1;Easy;
Stimuli/31_Baseline_6nodes.png;How many edges have confidence level small?;2;Easy;
Stimuli/61_Baseline_12nodes.png;How many edges have confidence level small?;4;Easy;
Stimuli/3_Baseline_3nodes.png;How many connections are between INDICATOR and MALWARE?;0;Hard;
Stimuli/33_Baseline_6nodes.png;How many connections are between INDICATOR and MALWARE?;1;Hard;
Stimuli/63_Baseline_12nodes.png;How many connections are between INDICATOR and MALWARE?;1;Hard;
Stimuli/5_Baseline_3nodes.png;How many nodes have TLP type AMBER?;0;Easy;
Stimuli/35_Baseline_6nodes.png;How many nodes have TLP type AMBER?;1;Easy;
Stimuli/65_Baseline_12nodes.png;How many nodes have TLP type AMBER?;5;Easy;
Stimuli/2_All_Adaptations_3nodes.png;How many malwares (Orange) are directly connected to GoTrim Botnet?;0;Easy;
Stimuli/32_All_Adaptations_6nodes.png;How many malwares (Orange) are directly connected to GoTrim Botnet?;1;Easy;
Stimuli/62_All_Adaptations_12nodes.png;How many malwares (Orange) are directly connected to GoTrim Botnet?;1;Easy;
Stimuli/4_All_Adaptations_3nodes.png;How many malwares (Orange) have a high level of confidence (THICKNESS)?;1;Hard;
Stimuli/34_All_Adaptations_6nodes.png;How many malwares (Orange) have a high level of confidence (THICKNESS)?;1;Hard;
Stimuli/64_All_Adaptations_12nodes.png;How many malwares (Orange) have a high level of confidence (THICKNESS)?;1;Hard;
Stimuli/6_All_Adaptations_3nodes.png;How many low level confidence relations (THICKNESS) have the Attack Pattern (Green)?;2;Hard;
Stimuli/36_All_Adaptations_6nodes.png;How many low level confidence relations (THICKNESS) have the Attack Pattern (Green)?;0;Hard;
Stimuli/66_All_Adaptations_12nodes.png;How many low level confidence relations (THICKNESS) have the Attack Pattern (Green)?;3;Hard;
Stimuli/8_Partial_EdgeThickness_3nodes.png;How many edges have confidence level high (Thickness)?;1;Easy;
Stimuli/38_Partial_EdgeThickness_6nodes.png;How many edges have confidence level high (Thickness)?;0;Easy;
Stimuli/68_Partial_EdgeThickness_12nodes.png;How many edges have confidence level high (Thickness)?;3;Easy;
Stimuli/10_Partial_EdgeThickness_3nodes.png;How many edges have confidence level high (Thickness) and are INDICATES?;2;Hard;
Stimuli/40_Partial_EdgeThickness_6nodes.png;How many edges have confidence level high (Thickness) and are INDICATES?;0;Hard;
Stimuli/70_Partial_EdgeThickness_12nodes.png;How many edges have confidence level high (Thickness) and are INDICATES?;1;Hard;
Stimuli/12_Partial_EdgeThickness_3nodes.png;How many edges have confidence level medium (Thickness) and are BASED_ON?;2;Hard;
Stimuli/42_Partial_EdgeThickness_6nodes.png;How many edges have confidence level medium (Thickness)?;2;Easy;
Stimuli/72_Partial_EdgeThickness_12nodes.png;How many edges have confidence level high (Thickness) and are USES?;3;Hard;
Stimuli/14_Partial_NodeShape_3nodes.png;How many nodes have TLP type CLEAR (Circle)?;2;Easy;
Stimuli/44_Partial_NodeShape_6nodes.png;How many nodes have TLP type CLEAR (Circle)?;3;Easy;
Stimuli/74_Partial_NodeShape_12nodes.png;How many nodes have TLP type CLEAR (Circle)?;3;Easy;
Stimuli/16_Partial_NodeShape_3nodes.png;How many nodes have TLP type AMBER (Triangle) and connected to GoTrim Botnet?;0;Hard;
Stimuli/46_Partial_NodeShape_6nodes.png;How many nodes have TLP type AMBER (Triangle) and connected to GoTrim Botnet?;1;Hard;
Stimuli/76_Partial_NodeShape_12nodes.png;How many nodes have TLP type AMBER (Triangle) and connected to GoTrim Botnet?;1;Hard;
Stimuli/18_Partial_NodeShape_3nodes.png;How many nodes have TLP type AMBER (Triangle) and connected to GoTrim Botnet?;0;Hard;
Stimuli/48_Partial_NodeShape_6nodes.png;How many nodes have TLP type GREEN (Square)?;2;Easy;
Stimuli/78_Partial_NodeShape_12nodes.png;How many nodes have TLP type GREEN (Square) and connected to GoTrim Botnet?;2;Hard;
Stimuli/20_Partial_NodeSize_3nodes.png;How many nodes have high level of relevance (Size)?;1;Easy;
Stimuli/50_Partial_NodeSize_6nodes.png;How many nodes have high level of relevance (Size)?;1;Easy;
Stimuli/80_Partial_NodeSize_12nodes.png;How many nodes have high level of relevance (Size)?;7;Easy;
Stimuli/22_Partial_NodeSize_3nodes.png;How many nodes have medium level of relevance (Size) and no outgoing edge?;1;Hard;
Stimuli/52_Partial_NodeSize_6nodes.png;How many nodes have small level of relevance (Size) and no outgoing edge?;2;Hard;
Stimuli/82_Partial_NodeSize_12nodes.png;How many nodes have high level of relevance (Size) and no outgoing edge?;3;Hard;
Stimuli/24_Partial_NodeSize_3nodes.png;How many nodes have medium level of relevance (Size)?;1;Easy;
Stimuli/54_Partial_NodeSize_6nodes.png;How many nodes have medium level of relevance (Size) and no outgoing edge?;1;Hard;
Stimuli/84_Partial_NodeSize_12nodes.png;How many nodes have small level of relevance (Size)?;2;Easy;
Stimuli/26_Partial_NodeType_3nodes.png;How many nodes are type malware (Orange)?;1;Easy;
Stimuli/56_Partial_NodeType_6nodes.png;How many nodes are type malware (Orange)?;1;Easy;
Stimuli/86_Partial_NodeType_12nodes.png;How many nodes are type malware (Orange)?;2;Easy;
Stimuli/28_Partial_NodeType_3nodes.png;How many connections are between malware (Orange) and attack pattern (Green)?;1;Hard;
Stimuli/58_Partial_NodeType_6nodes.png;How many connections are between malware (Orange) and Indicator (Pink)?;1;Hard;
Stimuli/88_Partial_NodeType_12nodes.png;How many connectinos are between malware (Orange) and attack pattern (Green)?;1;Hard;
Stimuli/30_Partial_NodeType_3nodes.png;How many nodes are type attack pattern (Green)?;3;Easy;
Stimuli/60_Partial_NodeType_6nodes.png;How many connections are between indicator (Pink) and Course of Action (Yellow)?;0;Hard;
Stimuli/90_Partial_NodeType_12nodes.png;How many nodes are type Indicator (Pink)?;2;Easy;
